platform_id,match_key,resolved_province,resolved_city,resolved_county,county_applicable,evidence_rows,first_month_id,last_month_id,matched_alias_count
1,ADDR|广东省东莞市长安镇涌头社区龙泉路20号一楼之一,广东省,东莞市,,0,18,202601,202606,4
1,ADDR|天津市南开区鞍山西道338号百脑汇科技大厦2211室,天津市,天津市,南开区,1,6,202601,202606,3
1,ADDR|北京市大兴区庞各庄镇西中堡村村委会北1000米,北京市,北京市,大兴区,1,6,202601,202606,3
1,ADDR|上海市徐汇区龙华西路20号2幢111室,上海市,上海市,徐汇区,1,6,202601,202606,3
1,ADDR|上海市松江区佘山镇陶干路701号5幢,上海市,上海市,松江区,1,102,202601,202606,3
1,ADDR|上海市静安区中山北路198号17063室,上海市,上海市,静安区,1,6,202601,202606,3
1,ADDR|上海市松江区文汇路1128号1160室,上海市,上海市,松江区,1,6,202601,202606,3
1,ADDR|广东省东莞市虎门镇博涌社区社岗东坊十一巷一号二楼,广东省,东莞市,,0,12,202601,202606,4
1,ADDR|重庆市渝北区龙溪街道金山路18号3幢103,重庆市,重庆市,两江新区,1,6,202601,202606,3
1,ADDR|上海市杨浦区铁岭路32号111410室,上海市,上海市,杨浦区,1,12,202601,202606,3
1,ADDR|上海市崇明县中兴镇中兴村242号,上海市,上海市,崇明区,1,30,202601,202606,3
1,ADDR|上海市宝山区友谊路1518弄10号1层h1274室,上海市,上海市,宝山区,1,36,202601,202606,3
1,ADDR|北京市丰台区和义小区南苑配合饲料厂西配楼二层北京市和义旅馆762室,北京市,北京市,丰台区,1,6,202601,202606,3
1,ADDR|上海市杨浦区翔殷路128号11号楼b座10201室,上海市,上海市,杨浦区,1,6,202601,202606,3
1,ADDR|上海市奉贤区庄行镇庄北路405号196室,上海市,上海市,奉贤区,1,6,202601,202606,3
1,ADDR|上海市浦东新区新场镇笋南路189号213室,上海市,上海市,浦东新区,1,6,202601,202606,3
1,ADDR|上海市普陀区祁连山路1035弄339号1幢1214室,上海市,上海市,普陀区,1,24,202601,202606,3
1,ADDR|北京市朝阳区来广营赢秋苑13号楼一层a132号,北京市,北京市,朝阳区,1,24,202601,202606,3
1,ADDR|上海市奉贤区青村镇城乡路39号6幢107室,上海市,上海市,奉贤区,1,6,202601,202606,3
1,ADDR|上海市嘉定区菊园新区平城路811号1329室,上海市,上海市,嘉定区,1,6,202601,202606,3
1,ADDR|上海市嘉定区南翔镇佳通路31弄3号楼821室,上海市,上海市,嘉定区,1,12,202601,202606,3
1,ADDR|北京市西城区西直门内铁狮巷阔带胡同甲7号京园旅馆014室,北京市,北京市,西城区,1,12,202601,202606,3
1,ADDR|北京市平谷区熊儿寨乡东路16号,北京市,北京市,平谷区,1,36,202601,202606,3
1,ADDR|上海市金山区卫昌路205号2幢294室,上海市,上海市,金山区,1,6,202601,202606,3
1,ADDR|北京市朝阳区汤立路216号12层3单元1505,北京市,北京市,朝阳区,1,18,202601,202606,3
1,ADDR|上海市奉贤区四团镇平海路898号3幢182室,上海市,上海市,奉贤区,1,12,202601,202606,3
1,ADDR|上海市松江区新松江路1800弄3号,上海市,上海市,松江区,1,66,202601,202606,3
1,ADDR|上海市浦东新区锦绣路3891号1幢b3063室,上海市,上海市,浦东新区,1,6,202601,202606,3
1,ADDR|上海市黄浦区斜土东路350号三楼d04室,上海市,上海市,黄浦区,1,6,202601,202606,3
1,ADDR|上海市闵行区中春路7001号2幢3楼a3082室,上海市,上海市,闵行区,1,12,202601,202606,3
1,ADDR|上海市奉贤区茂园路659号b39室,上海市,上海市,奉贤区,1,18,202601,202606,3
1,ADDR|上海市奉贤区南桥镇环城南路13381号1399室,上海市,上海市,奉贤区,1,18,202601,202606,3
1,ADDR|上海市奉贤区金海公路2898弄1193号20幢322室,上海市,上海市,奉贤区,1,18,202601,202606,3
1,ADDR|上海市宝山区逸仙路2816号1幢9层b0158室,上海市,上海市,宝山区,1,30,202601,202606,3
1,ADDR|上海市奉贤区环城西路2200号第一幢d034室,上海市,上海市,奉贤区,1,12,202601,202606,3
